shoulder_pan,elbow_flex,wrist_roll,gripper,shoulder_lift,wrist_flex
0.1487961364249072,1.5508545765523831,-1.5661943844312396,-0.1641359443037636,-1.7625439252806017,0.23776702212227438
0.04908738521234052,-1.5876701154616386,-1.483359421885415,0.044485442848683596,-0.009203884727313847,1.564660403643354
0.007669903939428206,-1.6643691548559207,-1.5677283652191252,0.044485442848683596,0.5568350260024878,1.1382137446111458
0.04295146206079795,-1.6643691548559207,0.8759030298827011,0.04141748127291231,0.5568350260024878,0.9357282806102412
0.04295146206079795,-1.6014759425526093,-1.526310883946213,0.04141748127291231,0.4433204476989503,1.1382137446111458
0.11351457830353745,1.4204662095821037,-1.573864288370668,0.04141748127291231,-1.7456701366138596,0.13652429012182207
0.22242721424341796,1.428136113521532,-1.6014759425526093,0.04141748127291231,-1.6275536159466653,0.13345632854605077
0.2991262536377,0.6089903727905995,-1.6014759425526093,-0.0521553467881118,1.0400389741864646,-1.6229516735830083
0.2270291566070749,0.5491651220630596,-1.6045439041283807,0.7731263170943632,1.1351457830353744,-1.6827769243105484
0.1227184630308513,1.0246991663076084,-1.6045439041283807,0.77772825945802,0.9326603190344698,-1.688912847462091
0.1119805975156518,1.4373399982488457,0.11044661672776616,-0.14726215563702155,-1.7579419829169447,1.337631247036279
