shoulder_pan,elbow_flex,wrist_flex,wrist_roll,shoulder_lift,gripper
0.4203107358806657,0.05522330836388308,1.5631264228554684,1.2210487071569704,-0.5108156023659185,-0.1487961364249072
0.9219224535192704,-0.3712233506683252,1.5615924420675826,2.761165418194154,-0.0521553467881118,-0.14726215563702155
0.9203884727313847,-1.0569127628532067,1.4419419406125027,2.9743887477102584,0.8344855486097889,0.6120583343663708
0.8713010875190442,-1.0569127628532067,1.4342720366730746,2.9743887477102584,0.9004467224888714,0.6120583343663708
0.8713010875190442,-1.055378782065321,1.4342720366730746,2.9483110743162024,0.9004467224888714,-0.1349903093339364
0.8912428377615575,-1.055378782065321,1.5493205957644975,2.9483110743162024,0.6856894121848816,-0.14266021327336462
0.641203969336198,0.1825437137583913,1.6551652701286068,2.6599226861937018,-0.42644665903220824,-0.14266021327336462
-0.06442719309119693,-0.48473792897186263,1.5186409800067848,-0.006135923151542565,0.3374757733348411,-0.14266021327336462
-0.06442719309119693,-0.48473792897186263,1.5186409800067848,0.030679615757712823,0.3374757733348411,0.41877675509278006
0.03681553890925539,1.6444274046134073,1.2287186110963986,0.030679615757712823,-1.880660445947796,-0.1487961364249072
